"","TA.x","year","ratio_mean","P5","P25","P50","P75","P95"
"1",1,1993,1.30010334102129,0.498376665008995,0.834781146266506,1.16131455663929,1.625840379295,2.50650352842403
"2",1,1994,1.26670195299061,0.482171305615573,0.816368005216277,1.12307152846929,1.57421094729853,2.43002292148724
"3",1,1995,1.4238117865696,0.507805588905037,0.883478627741028,1.23480484307469,1.72547990453862,2.81408511950404
"4",1,1996,1.40691877081828,0.464951144419542,0.849248018906939,1.22277434288972,1.73217128204522,2.64907886459824
"5",1,1997,1.40437768196784,0.494140514536325,0.878323338990121,1.22083687010693,1.79123701035402,2.70719544388009
"6",1,1998,1.48862517817694,0.500708327057606,0.896759561113536,1.30010186500891,1.8780422151957,2.79217430728441
"7",1,1999,1.43531753942235,0.420208532096384,0.844861952642887,1.25960302696263,1.83282144742563,2.83189628816176
"8",1,2000,1.5174089610181,0.417136763419176,0.846786047348127,1.2647283417968,1.87231913426885,3.26524778838833
"9",1,2001,1.42203946653257,0.402304971444396,0.848402772687362,1.30016151697092,1.8183836854323,2.70259164070704
"10",1,2002,1.69888252840283,0.427784050837806,0.884026865682677,1.51479381483525,2.03479563276406,3.64419608526268
"11",1,2003,1.68478322571747,0.428523119494322,0.851970211840749,1.44916929761305,2.09276187575563,3.5750539641466
"12",1,2004,1.67304244173972,0.472891314633538,0.795646674134533,1.33316740539275,2.13506029139047,3.58446955973128
"13",1,2005,2.21235333440086,0.668800056047957,1.16228967343943,1.84857066640882,2.89915821267672,4.82047260015503
"14",1,2006,2.00411697921816,0.64921749512918,1.10431437988192,1.65774231439103,2.51508103955611,4.1893380310997
"15",1,2007,1.87771762686948,0.580676165053028,1.0603996280052,1.52489430247973,2.26480590024978,3.94801504354587
"16",1,2008,1.8398002100342,0.564717449175177,1.11806217301297,1.61000952913867,2.1852285232338,3.63977379842384
"17",1,2009,1.57089870702824,0.423780417062081,0.944810832918846,1.42546882286852,1.94510389979537,3.11328576144857
"18",1,2010,1.52849451668879,0.482610594276243,0.983841130541308,1.36224156536489,1.86274773686857,2.93615934425243
"19",1,2011,1.39149978445572,0.360066956470031,0.887005168361285,1.28987586750601,1.68768805094245,2.72330972506045
"20",1,2012,1.46930017588559,0.385632983545825,0.879896625725461,1.3423729289037,1.7642538738668,2.7663106875596
"21",1,2013,1.42006949108888,0.440298306922679,0.936017781762895,1.33057368042395,1.81016407033239,2.61410270892562
"22",1,2014,1.33822693827682,0.398586255949582,0.823793058449627,1.25507295375561,1.63716673535016,2.57541269570007
"23",1,2015,1.48392476885637,0.502141663554233,0.94531791341127,1.43464125338953,1.82823347163288,2.61221522767683
"24",1,2016,1.74441114274269,0.660175549318728,1.09363042492217,1.62557515206223,2.15733876630762,3.2435091661789
"25",1,2017,1.65884609292359,0.674892327081487,1.08172603890453,1.5178438805092,2.06994652614006,3.03038312952035
"26",2,1993,1.1647434720568,0.606648209494898,0.911045650431513,1.11430705832926,1.35705420262588,1.80664757992276
"27",2,1994,1.19765367800862,0.616667912753698,0.920263876238333,1.14715570043577,1.40493104018885,1.90135396010374
"28",2,1995,1.27692695022291,0.655453795192939,0.982802243977692,1.22985019439611,1.48537019268338,1.99367674024104
"29",2,1996,1.26393395918746,0.538203790753667,0.961839961667465,1.22469761870349,1.50604412209127,2.01784660414443
"30",2,1997,1.37471073060378,0.548182746019714,1.05496218437643,1.35590642628028,1.6448260551863,2.22053632347603
"31",2,1998,1.37938095017472,0.499584359432767,1.04954179940606,1.35170459974177,1.6240278369757,2.18581879794431
"32",2,1999,1.42906632239398,0.471266823685417,1.07205207947145,1.36519262453632,1.63975290875835,2.30184987218936
"33",2,2000,1.40832940303812,0.521138920555316,1.0388397596445,1.34703373067066,1.62036927586941,2.42490815127976
"34",2,2001,1.36693512033342,0.468590459693043,0.984778290659529,1.29539874650582,1.60574557263511,2.41565273007936
"35",2,2002,1.43523567300039,0.486373634776568,1.02092381349436,1.30778405661573,1.60372879302509,2.47346454349196
"36",2,2003,1.46817735620144,0.454154891011145,1.01460806643988,1.35660620698559,1.69111749730645,2.72416266029535
"37",2,2004,1.60926376284562,0.499189646323508,1.07583021688388,1.47429076439251,1.8299529637777,2.90078360789205
"38",2,2005,1.8163049896141,0.555883143551379,1.23274844554949,1.72589828088197,2.16203244730811,3.31419433147865
"39",2,2006,1.98464148304892,0.652089716300053,1.42584352504276,1.90712794041165,2.31785749680759,3.46340606892078
"40",2,2007,1.93215259344686,0.627964496939579,1.43511503579989,1.90363502421116,2.33187999981595,3.24703059690839
"41",2,2008,1.89936911916524,0.645864818892378,1.4233220097228,1.81142470561168,2.17005205898942,3.03128501269903
"42",2,2009,1.94826327810008,0.592003094841818,1.43402816965418,1.80893391609763,2.14227934803651,3.29496245432555
"43",2,2010,1.62058024519124,0.430443846962516,1.2002260522844,1.59331574262735,1.93261766610733,2.6170790843965
"44",2,2011,1.34077884126275,0.368214326805347,0.88194630481059,1.3499178134856,1.70210772766157,2.34488153283596
"45",2,2012,1.50036960851259,0.444172012298109,1.09737526039328,1.43583622993476,1.71571713408271,2.61016518947234
"46",2,2013,1.50505477092112,0.439321034168918,1.12111150496037,1.47084302216221,1.75801048148723,2.58515845400991
"47",2,2014,1.53016918019521,0.494734636092205,1.13009575371492,1.44702051034467,1.78543216021584,2.67665708995717
"48",2,2015,1.55839968071044,0.491584331133895,1.18240595754292,1.51923732117466,1.82664017664316,2.61686811302812
"49",2,2016,1.80122646882729,0.630010010198726,1.39388635255375,1.69483204688138,2.03194731598147,3.16908383076827
